# Start Position | End Position | Favorability of Route # 
[1, 1] | [2, 1] | 0.10858136861459927 
[2, 1] | [2, 2] | 0.10862790827043477 
[2, 2] | [2, 3] | 0.10892297264364142 
[2, 3] | [2, 4] | 0.10901359445305574 
[2, 4] | [2, 5] | 0.10936112569880706 
[2, 5] | [3, 5] | 0.10949428604114106 
[3, 5] | [4, 5] | 0.10989775704778329 
[4, 5] | [5, 5] | 0.11011036373980973 
[5, 5] | [6, 5] | 0.11051365886836412 
[6, 5] | [6, 6] | 0.1106559932994762 
[6, 6] | [6, 7] | 0.11103798475035637 
[6, 7] | [6, 8] | 0.1287730872274583 
[6, 8] | [6, 9] | 0.1292565877195112 
[6, 9] | [6, 10] | 0.12938710008555407 
[6, 10] | [7, 10] | 0.1292181879949857 
[7, 10] | [7, 11] | 0.12933798091314794 
[7, 11] | [8, 11] | 0.12940320254477133 
[8, 11] | [8, 12] | 0.12943774600451777 
[8, 12] | [9, 12] | 0.129161350875937 
[9, 12] | [10, 12] | 0.12946752962812325 
[10, 12] | [10, 13] | 0.13250980012637215 
[10, 13] | [10, 14] | 0.13267548737740797 
[10, 14] | [10, 15] | 0.13254979047281398 
[10, 15] | [11, 15] | 0.1326336758821334 
[11, 15] | [12, 15] | 0.1323456429922903 
[12, 15] | [13, 15] | 0.14666469583127414 
[13, 15] | [14, 15] | 0.1470533579816541 
[14, 15] | [15, 15] | 0.14801757519589212 
[15, 15] | [15, 16] | 0.14801729551024098 
[15, 16] | [15, 17] | 0.14829693252386986 
[15, 17] | [16, 17] | 0.14820678148820066 
[16, 17] | [17, 17] | 0.14842578664650877 
[17, 17] | [18, 17] | 0.14828305394758265 
[18, 17] | [19, 17] | 0.1484281275192499 
[19, 17] | [19, 18] | 0.14856457581005084 
[19, 18] | [19, 19] | 0.14867490002464814 
[19, 19] | [19, 20] | 0.14841895046506232 
[19, 20] | [20, 20] | 0.14846487042184434 
[20, 20] | [21, 20] | 0.14813071656606933 
[21, 20] | [21, 21] | 0.1510562329593286 
[21, 21] | [22, 21] | 0.15147023969815196 
[22, 21] | [22, 22] | 0.15109275801055097 
[22, 22] | [22, 21] | 0.15147023969815196 
[22, 21] | [22, 22] | 0.15109275801055097 
[22, 22] | [22, 21] | 0.15147023969815196 
[22, 21] | [22, 22] | 0.15109275801055097 
[22, 22] | [22, 21] | 0.15147023969815196 
[22, 21] | [22, 22] | 0.15109275801055097 
[22, 22] | [22, 21] | 0.15147023969815196 
[22, 21] | [22, 22] | 0.15109275801055097 
[22, 22] | [23, 22] | 0.15105453186702358 
[23, 22] | [24, 22] | 0.15267926990474773 
[24, 22] | [24, 23] | 0.15280201860177164 
[24, 23] | [24, 24] | 0.1532768893404087 
[24, 24] | [25, 24] | 0.15339507355077928 
[25, 24] | [26, 24] | 0.16977546758128437 
[26, 24] | [27, 24] | 0.17032790793592323 
[27, 24] | [28, 24] | 0.17008595230721157 
[28, 24] | [29, 24] | 0.170230903114592 
[29, 24] | [30, 24] | 0.1703303720443316 
[30, 24] | [30, 23] | 0.17033929059168773 
[30, 23] | [31, 23] | 0.1699610307456716 
[31, 23] | [32, 23] | 0.17592250140040955 
[32, 23] | [33, 23] | 0.17638402654488097 
[33, 23] | [33, 24] | 0.17661544197940135 
[33, 24] | [34, 24] | 0.17661517425705056 
[34, 24] | [33, 24] | 0.17661544197940135 
[33, 24] | [34, 24] | 0.17661517425705056 
[34, 24] | [33, 24] | 0.17661544197940135 
[33, 24] | [34, 24] | 0.17661517425705056 
[34, 24] | [33, 24] | 0.17661544197940135 
[33, 24] | [34, 24] | 0.17661517425705056 
[34, 24] | [33, 24] | 0.17661544197940135 
[33, 24] | [34, 24] | 0.17661517425705056 
[34, 24] | [33, 24] | 0.17661544197940135 
[33, 24] | [33, 23] | 0.17336566230007264 
[33, 23] | [33, 22] | 0.1762477800294228 
[33, 22] | [34, 22] | 0.17631287682989147 
[34, 22] | [35, 22] | 0.17637779006761953 
[35, 22] | [35, 23] | 0.1760714464903147 
[35, 23] | [36, 23] | 0.17647351787698357 
[36, 23] | [37, 23] | 0.17620365799332724 
[37, 23] | [37, 22] | 0.17648295402376565 
[37, 22] | [38, 22] | 0.176427345442302 
[38, 22] | [39, 22] | 0.177424451795558 
[39, 22] | [40, 22] | 0.18300603016657094 
[40, 22] | [40, 23] | 0.18360510835536462 
[40, 23] | [40, 24] | 0.18335485044766184 
[40, 24] | [40, 25] | 0.18351073724435435 
[40, 25] | [39, 25] | 0.18304633915653196 
[39, 25] | [40, 25] | 0.18351073724435435 
[40, 25] | [39, 25] | 0.18304633915653196 
[39, 25] | [40, 25] | 0.18351073724435435 
[40, 25] | [39, 25] | 0.18304633915653196 
[39, 25] | [40, 25] | 0.18351073724435435 
[40, 25] | [39, 25] | 0.18304633915653196 
[39, 25] | [40, 25] | 0.18351073724435435 
[40, 25] | [39, 25] | 0.18304633915653196 
[39, 25] | [40, 25] | 0.18351073724435435 
[40, 25] | [39, 25] | 0.18304633915653196 
[39, 25] | [39, 26] | 0.18016562921549184 
[39, 26] | [39, 27] | 0.18467496032959463 
[39, 27] | [39, 28] | 0.18399095360543552 
[39, 28] | [39, 29] | 0.18401240558822252 
[39, 29] | [40, 29] | 0.19201870577705032 
[40, 29] | [41, 29] | 0.19292564675867654 
[41, 29] | [41, 30] | 0.19295841098893798 
[41, 30] | [41, 31] | 0.19301737904588706 
[41, 31] | [41, 32] | 0.19262704509530879 
[41, 32] | [41, 33] | 0.19321659231647312 
[41, 33] | [41, 34] | 0.19333793283097028 
[41, 34] | [41, 35] | 0.19393416123165927 
[41, 35] | [42, 35] | 0.20480893942432044 
[42, 35] | [43, 35] | 0.20496968060112494 
[43, 35] | [44, 35] | 0.20514395272354985 
[44, 35] | [45, 35] | 0.2046477523299663 
[45, 35] | [45, 36] | 0.21851254583989202 
[45, 36] | [46, 36] | 0.2194766806654035 
[46, 36] | [47, 36] | 0.2190892387615729 
[47, 36] | [48, 36] | 0.2197261479910787 
[48, 36] | [47, 36] | 0.2190892387615729 
[47, 36] | [48, 36] | 0.2197261479910787 
[48, 36] | [47, 36] | 0.2190892387615729 
